sample	cohort	included_in_clustering	exclusion_reason
DLBCL11591	Staudt	True	
DLBCL11512	Staudt	True	
DLBCL11534	Staudt	True	
DLBCL11506	Staudt	True	
DLBCL10966	Staudt	True	
DLBCL10951	Staudt	True	
DLBCL10484	Staudt	True	
DLBCL11671	Staudt	True	
DLBCL10883	Staudt	True	
DLBCL11531	Staudt	True	
DLBCL11430	Staudt	True	
DLBCL10460	Staudt	True	
DLBCL11513	Staudt	True	
DLBCL10544	Staudt	True	
DLBCL10521	Staudt	True	
DLBCL11681	Staudt	True	
DLBCL11503	Staudt	True	
DLBCL10914	Staudt	True	
DLBCL11440	Staudt	True	
DLBCL10480	Staudt	True	
DLBCL10862	Staudt	True	
DLBCL10885	Staudt	True	
DLBCL10899	Staudt	True	
DLBCL10548	Staudt	True	
DLBCL10931	Staudt	True	
DLBCL10523	Staudt	True	
DLBCL11454	Staudt	True	
DLBCL10957	Staudt	True	
DLBCL10553	Staudt	True	
DLBCL10963	Staudt	True	
DLBCL11434	Staudt	True	
DLBCL10880	Staudt	True	
DLBCL10458	Staudt	True	
DLBCL11676	Staudt	True	
DLBCL10909	Staudt	True	
DLBCL10476	Staudt	True	
DLBCL11471	Staudt	True	
DLBCL10457	Staudt	True	
DLBCL11194	Staudt	True	
DLBCL10493	Staudt	True	
DLBCL10959	Staudt	True	
DLBCL10990	Staudt	True	
DLBCL10495	Staudt	True	
DLBCL11455	Staudt	True	
DLBCL10473	Staudt	True	
DLBCL11655	Staudt	True	
DLBCL11666	Staudt	True	
DLBCL11432	Staudt	True	
DLBCL10469	Staudt	True	
DLBCL10974	Staudt	True	
DLBCL10871	Staudt	True	
DLBCL11658	Staudt	True	
DLBCL10955	Staudt	True	
DLBCL10927	Staudt	True	
DLBCL11564	Staudt	True	
DLBCL10907	Staudt	True	
DLBCL10969	Staudt	True	
DLBCL10550	Staudt	True	
DLBCL10973	Staudt	True	
DLBCL11677	Staudt	True	
DLBCL10491	Staudt	True	
DLBCL10464	Staudt	True	
DLBCL10904	Staudt	True	
DLBCL10868	Staudt	True	
DLBCL10953	Staudt	True	
DLBCL11476	Staudt	True	
DLBCL10869	Staudt	True	
DLBCL10900	Staudt	True	
DLBCL11508	Staudt	True	
DLBCL11195	Staudt	True	
DLBCL11581	Staudt	True	
DLBCL10858	Staudt	True	
DLBCL11204	Staudt	True	
DLBCL10906	Staudt	True	
DLBCL10452	Staudt	True	
DLBCL11584	Staudt	True	
DLBCL10490	Staudt	True	
DLBCL10864	Staudt	True	
DLBCL11453	Staudt	True	
DLBCL11523	Staudt	True	
DLBCL10541	Staudt	True	
DLBCL10865	Staudt	True	
DLBCL11585	Staudt	True	
DLBCL11196	Staudt	True	
DLBCL10465	Staudt	True	
DLBCL10983	Staudt	True	
DLBCL11450	Staudt	True	
DLBCL10852	Staudt	True	
DLBCL10968	Staudt	True	
DLBCL10483	Staudt	True	
DLBCL10948	Staudt	True	
DLBCL11346	Staudt	True	
DLBCL10472	Staudt	True	
DLBCL11542	Staudt	True	
DLBCL10856	Staudt	True	
DLBCL11202	Staudt	True	
DLBCL11563	Staudt	True	
DLBCL11673	Staudt	True	
DLBCL11579	Staudt	True	
DLBCL10908	Staudt	True	
DLBCL10878	Staudt	True	
DLBCL10537	Staudt	True	
DLBCL11663	Staudt	True	
DLBCL10962	Staudt	True	
DLBCL11541	Staudt	True	
DLBCL11520	Staudt	True	
DLBCL11457	Staudt	True	
DLBCL10877	Staudt	True	
DLBCL11538	Staudt	True	
DLBCL10565	Staudt	True	
DLBCL10876	Staudt	True	
DLBCL11446	Staudt	True	
DLBCL10842	Staudt	True	
DLBCL10481	Staudt	True	
DLBCL11447	Staudt	True	
DLBCL10910	Staudt	True	
DLBCL10834	Staudt	True	
DLBCL11439	Staudt	True	
DLBCL11527	Staudt	True	
DLBCL11667	Staudt	True	
DLBCL10538	Staudt	True	
DLBCL10498	Staudt	True	
DLBCL10515	Staudt	True	
DLBCL11662	Staudt	True	
DLBCL11433	Staudt	True	
DLBCL11459	Staudt	True	
DLBCL11574	Staudt	True	
DLBCL10451	Staudt	True	
DLBCL11669	Staudt	True	
DLBCL10860	Staudt	True	
DLBCL10934	Staudt	True	
DLBCL10497	Staudt	True	
DLBCL10532	Staudt	True	
DLBCL11504	Staudt	True	
DLBCL11498	Staudt	True	
DLBCL10932	Staudt	True	
DLBCL11003	Staudt	True	
DLBCL11526	Staudt	True	
DLBCL10893	Staudt	True	
DLBCL10989	Staudt	True	
DLBCL10781	Staudt	True	
DLBCL10847	Staudt	True	
DLBCL11445	Staudt	True	
DLBCL10844	Staudt	True	
DLBCL11436	Staudt	True	
DLBCL10915	Staudt	True	
DLBCL10542	Staudt	True	
DLBCL10525	Staudt	True	
DLBCL10890	Staudt	True	
DLBCL10535	Staudt	True	
DLBCL10456	Staudt	True	
DLBCL10870	Staudt	True	
DLBCL10896	Staudt	True	
DLBCL11182	Staudt	True	
DLBCL11533	Staudt	True	
DLBCL11203	Staudt	True	
DLBCL10519	Staudt	True	
DLBCL10517	Staudt	True	
DLBCL10889	Staudt	True	
DLBCL11519	Staudt	True	
DLBCL10461	Staudt	True	
DLBCL10965	Staudt	True	
DLBCL11575	Staudt	True	
DLBCL11672	Staudt	True	
DLBCL10533	Staudt	True	
DLBCL10463	Staudt	True	
DLBCL10919	Staudt	True	
DLBCL10884	Staudt	True	
DLBCL10528	Staudt	True	
DLBCL11510	Staudt	True	
DLBCL10988	Staudt	True	
DLBCL10972	Staudt	True	
DLBCL10992	Staudt	True	
DLBCL10854	Staudt	True	
DLBCL11180	Staudt	True	
DLBCL10848	Staudt	True	
DLBCL10956	Staudt	True	
DLBCL10499	Staudt	True	
DLBCL10995	Staudt	True	
DLBCL11005	Staudt	True	
DLBCL10534	Staudt	True	
DLBCL10838	Staudt	True	
DLBCL10836	Staudt	True	
DLBCL10488	Staudt	True	
DLBCL11532	Staudt	True	
DLBCL11562	Staudt	True	
DLBCL11566	Staudt	True	
DLBCL11675	Staudt	True	
DLBCL10918	Staudt	True	
DLBCL10978	Staudt	True	
DLBCL11684	Staudt	True	
DLBCL11483	Staudt	True	
DLBCL11535	Staudt	True	
DLBCL10527	Staudt	True	
DLBCL10901	Staudt	True	
DLBCL10863	Staudt	True	
DLBCL11670	Staudt	True	
DLBCL11479	Staudt	True	
DLBCL11468	Staudt	True	
DLBCL10554	Staudt	True	
DLBCL11472	Staudt	True	
DLBCL10505	Staudt	True	
DLBCL10895	Staudt	True	
DLBCL11652	Staudt	True	
DLBCL11565	Staudt	True	
DLBCL11456	Staudt	True	
