entity:sample_id	blat_passed_maf	hg38_WXS_bam_path	submitter_id
0b839934-105a-4c5e-adaa-b4f0eea702b4	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10958.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/d0fb8aa5-bcc5-48dd-b481-d38f4238bf9a/gdc_file_downloader_workflow/e6721989-fb44-4796-98dd-1772e4646a84/call-gdc_file_downloader/e1f11934-7ec3-45dd-a016-6c5a051c7a31/19b49469-8a68-4fce-a3c5-9e51369c8154_gdc_realn.bam	DLBCL10958
0c677fef-7493-4f79-8215-83082214550b	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10985.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/bd58c4e5-3117-4921-b94e-5475e911be0d/gdc_file_downloader_workflow/60eff1fc-09f5-4d50-8e1b-f72478db6a28/call-gdc_file_downloader/4dd748af-ddab-4a6f-8d0d-1e2f6917489a/a7177121-779a-451f-b1a7-828268a78fd3_gdc_realn.bam	DLBCL10985
0cbebd1b-c98f-4e80-b39c-954bc743d21e	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11463.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/c954e35d-5186-4f77-a94b-5d85d2c378d9/gdc_file_downloader_workflow/7927777d-1549-4e28-9987-4d5908fb76ff/call-gdc_file_downloader/ff70c5c9-a725-40c9-85ae-80ae4b85c4df/c6b73c51-9ca0-479c-a0a8-61c07393136c_gdc_realn.bam	DLBCL11463
0cd9d7f3-7c94-4771-9565-7201eca27982	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10977.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/9eb50fed-7ac3-410c-afbc-9ec8c11b27cc/gdc_file_downloader_workflow/8dc28f1c-3146-47a3-89ee-a1e6f35e0a9c/call-gdc_file_downloader/f9ccb340-c475-4dbf-aab5-0f3abe23a367/d575ced5-219a-40f8-a50c-8330d5bfa4e0_gdc_realn.bam	DLBCL10977
0d59bfd5-1f82-453c-86ed-52698b127871	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11591.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/c954e35d-5186-4f77-a94b-5d85d2c378d9/gdc_file_downloader_workflow/56c460f0-0f18-4d8e-a463-01805558ccb6/call-gdc_file_downloader/33a1a73b-b5a5-45b3-93ca-373c219d7942/13046808-4b7c-4af5-8ec2-a36c21b7f004_gdc_realn.bam	DLBCL11591
0d6f7ed0-f9c3-41c2-81b4-f86571245405	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11512.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/36225f23-a6c2-4e4a-bf3a-bf46eee7b242/gdc_file_downloader_workflow/84fee43c-f890-4330-a1b0-443121974c92/call-gdc_file_downloader/48fce6cd-39bc-4e05-8e2b-a46b8a67fead/e280825f-b6f6-401f-9f27-04109b633381_gdc_realn.bam	DLBCL11512
0dc344df-0250-48e1-bcd9-5a0954aa6ed8	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11534.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/db35d095-bda8-4e90-8f5c-8ecf7d6423c6/gdc_file_downloader_workflow/2cc42a71-3b93-4797-adea-2bde79194d45/call-gdc_file_downloader/4484499a-7e3a-4239-a10c-2616bbd1e854/027ddb93-5af1-4f45-baee-b89a80f0492d_gdc_realn.bam	DLBCL11534
0f9cf881-1cf0-4e25-ad8d-20f2288aa45e	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11506.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/36225f23-a6c2-4e4a-bf3a-bf46eee7b242/gdc_file_downloader_workflow/5b9601c5-a080-4080-a43f-8059d89a079f/call-gdc_file_downloader/eb07691a-7767-499c-97ba-1da347c1ea03/cf87a657-3932-46f6-8ec3-831829697401_gdc_realn.bam	DLBCL11506
107b94ab-5f8f-44ed-9a5e-dd2fc8a23bee	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10966.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/dd98d63e-18a7-43cb-a4e1-4240b608b72d/gdc_file_downloader_workflow/c6f71db7-a89b-4470-85af-5b5f84780f56/call-gdc_file_downloader/5fa0772e-a309-414d-9476-1bf74fb92969/7efd91e7-8a71-4a21-8fcc-58a3da145c90_gdc_realn.bam	DLBCL10966
1165b646-14c6-4e10-b3b3-0d9e172ba4e0	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11648.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/d41a882b-1f53-4f18-9c7f-d4b384279d0d/gdc_file_downloader_workflow/20abd5cd-0971-49e2-9529-09b704f483cf/call-gdc_file_downloader/a97ffec9-8766-4abb-bc39-8f3fbbffa284/5b0f2b6e-b9bc-422f-b117-e076f56c0ac9_gdc_realn.bam	DLBCL11648
