	C1	C2	C3	C4	C5	cluster	confidence
DLBCL10502	0.00020810783026532935	0.9956430858279688	0.002461068950450665	0.00042609100662533084	0.0012616463846898181	2	0.9956430858279688
DLBCL11661	0.0002085325005048086	0.9956131787846558	0.0021536543480840478	0.0005874055927224103	0.001437228774032827	2	0.9956131787846558
DLBCL_MAYO_DLBCL_7359	8.750340006232194e-05	0.9956104468918479	0.0015283646858041211	0.00040852548352578156	0.0023651595387598322	2	0.9956104468918479
DLBCL10911	0.0001587646988563793	0.995603751835297	0.0014244447697476376	0.00034592840255865954	0.0024671102935403576	2	0.995603751835297
DLBCL_RICOVER_253	0.0001059303327339466	0.9955903902955763	0.0018244267527054523	0.00035360077019880765	0.0021256518487855437	2	0.9955903902955763
DLBCL_LS146	0.00017067626471157967	0.9955691845473381	0.00118751546318822	0.0003759473239790331	0.0026966764007830962	2	0.9955691845473381
DLBCL10519	7.905243089947778e-05	0.9955658970729931	0.0022002831460828307	0.0005852004992684308	0.0015695668507560644	2	0.9955658970729931
DLBCL11193	0.00010497652082130936	0.9955630947183097	0.002522192165190629	0.0004101236763218019	0.0013996129193565223	2	0.9955630947183097
DLBCL11456	0.00010497652087704216	0.9955630947176869	0.002522192165451484	0.0004101236764307173	0.0013996129195537838	2	0.9955630947176869
DLBCL_RICOVER_533	0.0001049904992100369	0.9955629385254114	0.002522257588863841	0.00041015099301497116	0.0013996623934997598	2	0.9955629385254114
DLBCL11484	9.543826955274273e-05	0.995546957368996	0.001815884442368673	0.0004088365502304224	0.0021328833688521423	2	0.995546957368996
DLBCL11679	0.00011532197696669526	0.9955409162851462	0.002561515188882371	0.00041730896903984904	0.0013649375799648698	2	0.9955409162851462
DLBCL11188	0.00016860893769576128	0.9955291915043049	0.0014296951845387293	0.00033367253649717874	0.002538831836963453	2	0.9955291915043049
DLBCL_RICOVER_299	7.691659553514546e-05	0.9955147650212985	0.0024773205539329554	0.0003809913528423146	0.0015500064763910148	2	0.9955147650212985
DLBCL_RICOVER_107	7.698843567261264e-05	0.9955138351200837	0.002477709358640472	0.00038114928440455314	0.0015503178011986394	2	0.9955138351200837
DLBCL10850	0.0001710833727079306	0.9955116515731962	0.0009554146227460835	0.0003300774009184447	0.003031773030431278	2	0.9955116515731962
