membership:sample_set_id	sample
shipp_dlbclass_normal_samples	DLBCL-RICOVER_782-Normal-SM-4MEZ5
shipp_dlbclass_normal_samples	DLBCL-RICOVER_828-Normal-SM-4MEZ6
shipp_dlbclass_normal_samples	DLBCL-RICOVER_839-Normal-SM-4JPFU
shipp_dlbclass_normal_samples	DLBCL-RICOVER_896-Normal-SM-4MEZ7
shipp_dlbclass_normal_samples	DLBCL-RICOVER_904-Normal-SM-4JPFV
shipp_dlbclass_normal_samples	DLBCL-RICOVER_905-Normal-SM-4MEZ8
shipp_dlbclass_normal_samples	DLBCL-RICOVER_910-Normal-SM-4MEZ9
shipp_dlbclass_normal_samples	DLBCL-RICOVER_911-Normal-SM-4MEZA
shipp_dlbclass_normal_samples	DLBCL-RICOVER_928-Normal-SM-4MEZB
shipp_dlbclass_normal_samples	DLBCL-RICOVER_95-Normal-SM-4JPFP
shipp_dlbclass_normal_samples	DLBCL-RICOVER_950-Normal-SM-4MEZC
shipp_dlbclass_normal_samples	DLBCL-RICOVER_977-Normal-SM-4MEZD
shipp_dlbclass_normal_samples	DLBCL-RICOVER_983-Normal-SM-4JPFW
shipp_dlbclass_normal_samples	DLBCL-RICOVER_99-Normal-SM-4MEWY
shipp_dlbclass_normal_samples	DLBCL-RICOVER_996-Normal-SM-4MEZF
shipp_dlbclass_normal_samples	LS155_Normal
