gene	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
X13Q14.2.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.11454545454545453	0.0634920634920635	0.41269841269841273	0.33333333333333337	0.04761904761904763	0.14285714285714288	0.007272727272727273	0.04727272727272727	0.038181818181818185	0.005454545454545455	0.016363636363636365	4	112	26	98	21	74	3	74	9	129	4	26	22	3	9
X10Q23.31.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.10363636363636364	0.052631578947368425	0.4385964912280702	0.2807017543859649	0.12280701754385966	0.10526315789473685	0.005454545454545455	0.045454545454545456	0.02909090909090909	0.012727272727272728	0.01090909090909091	3	113	25	99	16	79	7	70	6	132	3	26	18	7	7
X12P13.2.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.07818181818181819	0.046511627906976744	0.5813953488372093	0.09302325581395349	0.046511627906976744	0.2325581395348837	0.0036363636363636364	0.045454545454545456	0.007272727272727273	0.0036363636363636364	0.01818181818181818	2	114	25	99	4	91	2	75	10	128	2	25	4	2	10
X3Q28.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.08	0.3409090909090909	0.45454545454545453	0.0	0.11363636363636363	0.09090909090909091	0.02727272727272727	0.03636363636363636	0.0	0.00909090909090909	0.007272727272727273	15	101	20	104	0	95	5	72	4	134	16	22	0	5	4
X1Q42.12.DEL	C2	6.784742279159487e-05	1.999980000199998e-05	0.09454545454545454	0.057692307692307696	0.46153846153846156	0.07692307692307693	0.057692307692307696	0.3461538461538462	0.005454545454545455	0.04363636363636364	0.007272727272727273	0.005454545454545455	0.03272727272727273	3	113	24	100	4	91	3	74	18	120	3	24	4	3	19
X18Q23.DEL	C2	0.00013073040001307306	3.999960000399996e-05	0.09636363636363636	0.09433962264150943	0.41509433962264153	0.2830188679245283	0.1320754716981132	0.07547169811320754	0.00909090909090909	0.04	0.02727272727272727	0.012727272727272728	0.007272727272727273	5	111	22	102	15	80	7	70	4	134	5	23	16	7	4
X11P.AMP	C2	0.0001595222143016665	4.999950000499995e-05	0.14181818181818182	0.10256410256410256	0.39743589743589747	0.14102564102564102	0.21794871794871795	0.14102564102564102	0.014545454545454545	0.056363636363636366	0.02	0.03090909090909091	0.02	8	108	31	93	11	84	17	60	11	127	8	33	11	19	11
X18Q21.32.AMP	C2	0.00018697487443730215	5.999940000599994e-05	0.06	0.030303030303030304	0.48484848484848486	0.06060606060606061	0.030303030303030304	0.3939393939393939	0.0018181818181818182	0.02909090909090909	0.0036363636363636364	0.0018181818181818182	0.023636363636363636	1	115	16	108	2	93	1	76	13	125	1	26	3	1	16
X7Q22.1.AMP	C2	0.00021317968638495435	6.999930000699993e-05	0.07818181818181819	0.06976744186046512	0.4651162790697674	0.2325581395348837	0.1627906976744186	0.06976744186046512	0.005454545454545455	0.03636363636363636	0.01818181818181818	0.012727272727272728	0.005454545454545455	3	113	20	104	10	85	7	70	3	135	3	32	15	10	3
X12P.AMP	C2	0.0003991449447207656	0.00013999860001399987	0.1890909090909091	0.125	0.27884615384615385	0.27884615384615385	0.1826923076923077	0.1346153846153846	0.023636363636363636	0.05272727272727273	0.05272727272727273	0.034545454545454546	0.025454545454545455	13	103	29	95	29	66	19	58	14	124	13	29	29	19	14
X3P21.31.DEL	C2	0.000683666632721428	0.00024999750002499977	0.1672727272727273	0.19565217391304346	0.4021739130434782	0.17391304347826084	0.08695652173913042	0.14130434782608695	0.03272727272727273	0.06727272727272728	0.02909090909090909	0.014545454545454545	0.023636363636363636	18	98	37	87	16	79	8	69	13	125	18	37	18	8	13
X13Q.AMP	C2	0.0011968812350711443	0.0004599954000459995	0.14363636363636365	0.12658227848101264	0.3924050632911392	0.08860759493670886	0.08860759493670886	0.3037974683544304	0.01818181818181818	0.056363636363636366	0.012727272727272728	0.012727272727272728	0.04363636363636364	10	106	31	93	7	88	7	70	24	114	10	32	7	7	24
X7P.AMP	C2	0.0017706965787484983	0.0007399926000739993	0.3072727272727273	0.11834319526627217	0.28994082840236685	0.21893491124260353	0.14792899408284022	0.22485207100591714	0.03636363636363636	0.0890909090909091	0.06727272727272728	0.045454545454545456	0.06909090909090909	20	96	49	75	37	58	25	52	38	100	21	53	43	27	40
X19P13.3.DEL	C2	0.0017706965787484983	0.0007299927000729993	0.1709090909090909	0.11702127659574468	0.3829787234042554	0.13829787234042554	0.0851063829787234	0.2765957446808511	0.02	0.06545454545454546	0.023636363636363636	0.014545454545454545	0.04727272727272727	11	105	36	88	13	82	8	69	26	112	12	40	17	10	29
X9P24.1.AMP	C2	0.003099447266396901	0.0013299867001329987	0.14181818181818182	0.20512820512820512	0.39743589743589747	0.07692307692307693	0.08974358974358974	0.23076923076923078	0.02909090909090909	0.056363636363636366	0.01090909090909091	0.012727272727272728	0.03272727272727273	16	100	31	93	6	89	7	70	18	120	21	38	7	8	21
X6P.AMP	C2	0.0031189343278981005	0.0013499865001349986	0.2054545454545455	0.18584070796460175	0.3451327433628318	0.15929203539823006	0.053097345132743355	0.2566371681415929	0.038181818181818185	0.07090909090909091	0.03272727272727273	0.01090909090909091	0.05272727272727273	21	95	39	85	18	77	6	71	29	109	22	44	20	6	30
X3Q28.AMP	C2	0.00336714581572133	0.0014699853001469984	0.07090909090909092	0.07692307692307691	0.4871794871794871	0.2051282051282051	0.07692307692307691	0.15384615384615383	0.005454545454545455	0.034545454545454546	0.014545454545454545	0.005454545454545455	0.01090909090909091	3	113	19	105	8	87	3	74	6	132	3	23	10	3	7
X19Q13.32.1.DEL	C2	0.005049866856703333	0.0022699773002269976	0.045454545454545456	0.04	0.56	0.08	0.08	0.24000000000000002	0.0018181818181818182	0.025454545454545455	0.0036363636363636364	0.0036363636363636364	0.01090909090909091	1	115	14	110	2	93	2	75	6	132	1	14	2	2	7
X17Q24.3.AMP	C2	0.005402825971740282	0.0025199748002519974	0.12	0.10606060606060606	0.42424242424242425	0.15151515151515152	0.12121212121212122	0.19696969696969696	0.012727272727272728	0.05090909090909091	0.01818181818181818	0.014545454545454545	0.023636363636363636	7	109	28	96	10	85	8	69	13	125	9	29	13	9	16
EP300	C2	0.005934226372021994	0.0027899721002789973	0.10181818181818182	0.14285714285714285	0.32142857142857145	0.32142857142857145	0.08928571428571427	0.125	0.014545454545454545	0.03272727272727273	0.03272727272727273	0.00909090909090909	0.012727272727272728	8	108	18	106	18	77	5	72	7	131	12	34	34	10	13
X11Q23.3.AMP	C2	0.007663048369516305	0.0036599634003659965	0.11454545454545456	0.19047619047619047	0.3968253968253968	0.07936507936507935	0.06349206349206349	0.2698412698412698	0.02181818181818182	0.045454545454545456	0.00909090909090909	0.007272727272727273	0.03090909090909091	12	104	25	99	5	90	4	73	17	121	13	35	7	4	20
ZNF423	C2	0.016139838601613984	0.008069919300806992	0.04	0.22727272727272727	0.4090909090909091	0.045454545454545456	0.27272727272727276	0.045454545454545456	0.00909090909090909	0.016363636363636365	0.0018181818181818182	0.01090909090909091	0.0018181818181818182	5	111	9	115	1	94	6	71	1	137	9	15	2	9	2
X17Q25.1.DEL	C2	0.02070182196728757	0.01065989340106599	0.08545454545454545	0.1702127659574468	0.425531914893617	0.06382978723404256	0.0851063829787234	0.25531914893617025	0.014545454545454545	0.03636363636363636	0.005454545454545455	0.007272727272727273	0.02181818181818182	8	108	20	104	3	92	4	73	12	126	9	21	3	4	12
X7Q.AMP	C2	0.0281303480671487	0.015009849901500985	0.2727272727272727	0.12666666666666668	0.29333333333333333	0.19333333333333336	0.14666666666666667	0.24000000000000005	0.034545454545454546	0.08	0.05272727272727273	0.04	0.06545454545454546	19	97	44	80	29	66	22	55	36	102	19	47	33	22	39
X1Q.AMP	C2	0.049815972428511004	0.02843971560284397	0.23636363636363636	0.17692307692307693	0.2923076923076923	0.18461538461538463	0.17692307692307693	0.16923076923076924	0.04181818181818182	0.06909090909090909	0.04363636363636364	0.04181818181818182	0.04	23	93	38	86	24	71	23	54	22	116	23	40	24	24	22
X1Q23.3.AMP	C2	0.050588844760903036	0.02906970930290697	0.09636363636363637	0.11320754716981132	0.3962264150943396	0.18867924528301883	0.09433962264150941	0.20754716981132074	0.01090909090909091	0.038181818181818185	0.01818181818181818	0.00909090909090909	0.02	6	110	21	103	10	85	5	72	11	127	6	26	16	5	11
X6P21.1.AMP	C2	0.05494809568033353	0.03177968220317797	0.061818181818181814	0.17647058823529416	0.4411764705882353	0.11764705882352942	0.029411764705882356	0.23529411764705885	0.01090909090909091	0.02727272727272727	0.007272727272727273	0.0018181818181818182	0.014545454545454545	6	110	15	109	4	91	1	76	8	130	7	21	6	1	10
X9Q.AMP	C2	0.09148758512414877	0.054619453805461946	0.11090909090909092	0.14754098360655737	0.3442622950819672	0.09836065573770492	0.09836065573770492	0.3114754098360656	0.016363636363636365	0.038181818181818185	0.01090909090909091	0.01090909090909091	0.034545454545454546	9	107	21	103	6	89	6	71	19	119	9	23	6	6	19
X13Q31.3.AMP	C2	0.11369334159419142	0.06914930850691493	0.07636363636363637	0.21428571428571427	0.3571428571428571	0.19047619047619047	0.14285714285714285	0.09523809523809523	0.016363636363636365	0.02727272727272727	0.014545454545454545	0.01090909090909091	0.007272727272727273	9	107	15	109	8	87	6	71	4	134	11	23	10	6	4
COPS6	C2	0.11757773331357596	0.07238927610723893	0.02181818181818182	0.25	0.5	0.16666666666666666	0.08333333333333333	0.0	0.005454545454545455	0.01090909090909091	0.0036363636363636364	0.0018181818181818182	0.0	3	113	6	118	2	93	1	76	0	138	6	9	3	2	0
FCGBP	C2	0.15901174321590117	0.1014589854101459	0.11818181818181818	0.15384615384615385	0.3076923076923077	0.16923076923076924	0.06153846153846154	0.3076923076923077	0.01818181818181818	0.03636363636363636	0.02	0.007272727272727273	0.03636363636363636	10	106	20	104	11	84	4	73	20	118	17	33	17	4	35
XPO1	C2	0.2640878745851717	0.1911680883191168	0.029090909090909094	0.1875	0.375	0.12499999999999999	0.24999999999999997	0.06249999999999999	0.005454545454545455	0.01090909090909091	0.0036363636363636364	0.007272727272727273	0.0018181818181818182	3	113	6	118	2	93	4	73	1	137	5	11	3	7	1
RC3H1	C2	0.3576187767534089	0.2722172778272217	0.029090909090909094	0.12499999999999999	0.43749999999999994	0.06249999999999999	0.06249999999999999	0.31249999999999994	0.0036363636363636364	0.012727272727272728	0.0018181818181818182	0.0018181818181818182	0.00909090909090909	2	114	7	117	1	94	1	76	5	133	4	14	2	2	10
KDELR3	C2	0.38862213319614375	0.2987170128298717	0.01090909090909091	0.0	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0036363636363636364	0.0	0.0036363636363636364	0.0036363636363636364	0	116	2	122	0	95	2	75	2	136	0	4	0	4	4
TLR2	C2	0.38928229075197174	0.3006769932300677	0.03090909090909091	0.23529411764705882	0.35294117647058826	0.17647058823529413	0.17647058823529413	0.058823529411764705	0.007272727272727273	0.01090909090909091	0.005454545454545455	0.005454545454545455	0.0018181818181818182	4	112	6	118	3	92	3	74	1	137	8	12	6	6	2
TPTE	C2	0.5630068809444064	0.47557524424755754	0.07090909090909091	0.15384615384615385	0.28205128205128205	0.2564102564102564	0.10256410256410256	0.20512820512820512	0.01090909090909091	0.02	0.01818181818181818	0.007272727272727273	0.014545454545454545	6	110	11	113	10	85	4	73	8	130	11	21	19	7	16
X12P12.1.AMP	C2	0.5630068809444064	0.47687523124768755	0.030909090909090907	0.05882352941176471	0.3529411764705883	0.17647058823529416	0.11764705882352942	0.29411764705882354	0.0018181818181818182	0.01090909090909091	0.005454545454545455	0.0036363636363636364	0.00909090909090909	1	115	6	118	3	92	2	75	5	133	1	8	4	3	6
HNRNPH1	C2	0.5981816703572095	0.5133648663513365	0.027272727272727275	0.06666666666666667	0.3333333333333333	0.2	0.2	0.2	0.0018181818181818182	0.00909090909090909	0.005454545454545455	0.005454545454545455	0.005454545454545455	1	115	5	119	3	92	3	74	3	135	1	10	5	6	5
TMCO4	C2	0.652494651524073	0.5784342156578435	0.02	0.27272727272727276	0.36363636363636365	0.09090909090909091	0.0	0.27272727272727276	0.005454545454545455	0.007272727272727273	0.0018181818181818182	0.0	0.005454545454545455	3	113	4	120	1	94	0	77	3	135	4	8	1	0	4
X17P11.2.DEL	C2	0.652494651524073	0.5794542054579455	0.012727272727272726	0.0	0.42857142857142866	0.14285714285714288	0.14285714285714288	0.28571428571428575	0.0	0.005454545454545455	0.0018181818181818182	0.0018181818181818182	0.0036363636363636364	0	116	3	121	1	94	1	76	2	136	0	3	1	1	2
NEK5	C2	0.7973942750532335	0.7408625913740863	0.023636363636363636	0.07692307692307693	0.3076923076923077	0.23076923076923078	0.15384615384615385	0.23076923076923078	0.0018181818181818182	0.007272727272727273	0.005454545454545455	0.0036363636363636364	0.005454545454545455	1	115	4	120	3	92	2	75	3	135	2	8	6	4	6
HIAT1	C2	0.7984390556094438	0.7448125518744813	0.014545454545454544	0.12500000000000003	0.25000000000000006	0.25000000000000006	0.25000000000000006	0.12500000000000003	0.0018181818181818182	0.0036363636363636364	0.0036363636363636364	0.0036363636363636364	0.0018181818181818182	1	115	2	122	2	93	2	75	1	137	2	3	3	4	2
E2F5	C2	0.8535237967778425	0.8057519424805752	0.03636363636363636	0.2	0.30000000000000004	0.2	0.15000000000000002	0.15000000000000002	0.007272727272727273	0.01090909090909091	0.007272727272727273	0.005454545454545455	0.005454545454545455	4	112	6	118	4	91	3	74	3	135	7	12	8	6	6
RAD9A	C2	0.8690890345998501	0.8269317306826932	0.012727272727272726	0.14285714285714288	0.42857142857142866	0.14285714285714288	0.14285714285714288	0.14285714285714288	0.0018181818181818182	0.005454545454545455	0.0018181818181818182	0.0018181818181818182	0.0018181818181818182	1	115	3	121	1	94	1	76	1	137	1	5	2	2	2
NIPA2	C2	0.9330017469056079	0.9045009549904501	0.01818181818181818	0.1	0.30000000000000004	0.2	0.1	0.30000000000000004	0.0018181818181818182	0.005454545454545455	0.0036363636363636364	0.0018181818181818182	0.005454545454545455	1	115	3	121	2	93	1	76	3	135	2	5	4	2	5
CCDC159	C2	0.9519346952124349	0.9270707292927071	0.014545454545454545	0.125	0.37500000000000006	0.125	0.125	0.25	0.0018181818181818182	0.005454545454545455	0.0018181818181818182	0.0018181818181818182	0.0036363636363636364	1	115	3	121	1	94	1	76	2	136	2	6	2	2	4
KRTAP5.1	C2	0.988453297285209	0.97370026299737	0.010909090909090908	0.16666666666666669	0.33333333333333337	0.16666666666666669	0.16666666666666669	0.16666666666666669	0.0018181818181818182	0.0036363636363636364	0.0018181818181818182	0.0018181818181818182	0.0018181818181818182	1	115	2	122	1	94	1	76	1	137	2	4	2	2	1
DCDC2B	C2	0.9893332645620913	0.981950180498195	0.014545454545454545	0.125	0.25	0.25	0.125	0.25	0.0018181818181818182	0.0036363636363636364	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	1	115	2	122	2	93	1	76	2	136	1	4	4	2	4
SV.BCL2	C3	3.5732976003573306e-05	9.99990000099999e-06	0.14727272727272728	0.024691358024691357	0.18518518518518517	0.7037037037037037	0.04938271604938271	0.03703703703703704	0.0036363636363636364	0.02727272727272727	0.10363636363636364	0.007272727272727273	0.005454545454545455	2	114	15	109	57	38	4	73	3	135	6	45	171	12	9
BCL2	C3	3.5732976003573306e-05	9.99990000099999e-06	0.16181818181818183	0.0449438202247191	0.14606741573033707	0.5842696629213483	0.05617977528089887	0.1685393258426966	0.007272727272727273	0.023636363636363636	0.09454545454545454	0.00909090909090909	0.02727272727272727	4	112	13	111	52	43	5	72	15	123	7	26	94	10	24
CREBBP	C3	3.5732976003573306e-05	9.99990000099999e-06	0.18181818181818182	0.15	0.18000000000000002	0.45999999999999996	0.060000000000000005	0.15	0.02727272727272727	0.03272727272727273	0.08363636363636363	0.01090909090909091	0.02727272727272727	15	101	18	106	46	49	6	71	15	123	29	33	92	12	30
TNFRSF14	C3	3.5732976003573306e-05	9.99990000099999e-06	0.14545454545454548	0.18749999999999997	0.15	0.4749999999999999	0.175	0.012499999999999999	0.02727272727272727	0.02181818181818182	0.06909090909090909	0.025454545454545455	0.0018181818181818182	15	101	12	112	38	57	14	63	1	137	29	23	76	28	1
EZH2	C3	3.5732976003573306e-05	9.99990000099999e-06	0.08545454545454545	0.0425531914893617	0.12765957446808512	0.7659574468085107	0.02127659574468085	0.0425531914893617	0.0036363636363636364	0.01090909090909091	0.06545454545454546	0.0018181818181818182	0.0036363636363636364	2	114	6	118	36	59	1	76	2	136	3	12	72	2	4
HVCN1	C3	6.784742279159487e-05	1.999980000199998e-05	0.027272727272727275	0.06666666666666667	0.06666666666666667	0.7333333333333333	0.06666666666666667	0.06666666666666667	0.0018181818181818182	0.0018181818181818182	0.02	0.0018181818181818182	0.0018181818181818182	1	115	1	123	11	84	1	76	1	137	2	2	22	2	2
KMT2D	C3	0.00018697487443730215	5.999940000599994e-05	0.32181818181818184	0.1751412429378531	0.192090395480226	0.29378531073446323	0.1016949152542373	0.23728813559322035	0.056363636363636366	0.06181818181818182	0.09454545454545454	0.03272727272727273	0.07636363636363637	31	85	34	90	52	43	18	59	42	96	60	67	103	36	79
GNA13	C3	0.0003991449447207656	0.00013999860001399987	0.09272727272727274	0.196078431372549	0.1176470588235294	0.392156862745098	0.196078431372549	0.0980392156862745	0.01818181818181818	0.01090909090909091	0.03636363636363636	0.01818181818181818	0.00909090909090909	10	106	6	118	20	75	10	67	5	133	20	12	40	20	10
SV.MYC	C3	0.0009721471412736853	0.0003699963000369996	0.06727272727272728	0.08108108108108109	0.2162162162162162	0.4594594594594595	0.1081081081081081	0.13513513513513511	0.005454545454545455	0.014545454545454545	0.03090909090909091	0.007272727272727273	0.00909090909090909	3	113	8	116	17	78	4	73	5	133	9	24	51	12	15
MAP2K1	C3	0.0017706965787484983	0.0007399926000739993	0.039999999999999994	0.2727272727272728	0.04545454545454546	0.4545454545454546	0.18181818181818185	0.04545454545454546	0.01090909090909091	0.0018181818181818182	0.01818181818181818	0.007272727272727273	0.0018181818181818182	6	110	1	123	10	85	4	73	1	137	11	2	19	8	1
IRF8	C3	0.002087058775429945	0.0008799912000879991	0.08909090909090911	0.22448979591836732	0.12244897959183672	0.36734693877551017	0.18367346938775508	0.10204081632653059	0.02	0.01090909090909091	0.03272727272727273	0.016363636363636365	0.00909090909090909	11	105	6	118	18	77	9	68	5	133	22	12	33	17	9
MEF2C	C3	0.005049866856703333	0.0022799772002279977	0.02	0.0	0.0	0.45454545454545453	0.36363636363636365	0.18181818181818182	0.0	0.0	0.00909090909090909	0.007272727272727273	0.0036363636363636364	0	116	0	124	5	90	4	73	2	136	0	0	9	8	3
PTEN	C3	0.005074375485753339	0.002309976900230998	0.04181818181818182	0.13043478260869568	0.08695652173913043	0.34782608695652173	0.34782608695652173	0.08695652173913043	0.005454545454545455	0.0036363636363636364	0.014545454545454545	0.014545454545454545	0.0036363636363636364	3	113	2	122	8	87	8	69	2	136	6	4	16	16	4
MEF2B	C3	0.017628268161762828	0.008879911200887991	0.08	0.25	0.18181818181818182	0.36363636363636365	0.06818181818181819	0.13636363636363638	0.02	0.014545454545454545	0.02909090909090909	0.005454545454545455	0.01090909090909091	11	105	8	116	16	79	3	74	6	132	21	15	31	6	12
X12Q.AMP	C3	0.03921511805290111	0.02150978490215098	0.2072727272727273	0.14912280701754385	0.23684210526315785	0.26315789473684204	0.15789473684210525	0.19298245614035087	0.03090909090909091	0.04909090909090909	0.05454545454545454	0.03272727272727273	0.04	17	99	27	97	30	65	18	59	22	116	17	27	30	18	22
POU2AF1	C3	0.09858000185430245	0.05958940410595894	0.025454545454545455	0.2142857142857143	0.07142857142857142	0.3571428571428571	0.2857142857142857	0.07142857142857142	0.005454545454545455	0.0018181818181818182	0.00909090909090909	0.007272727272727273	0.0018181818181818182	3	113	1	123	5	90	4	73	1	137	6	2	9	8	2
IKBKB	C3	0.2406386631320853	0.16756832431675683	0.02181818181818182	0.08333333333333333	0.25	0.41666666666666663	0.16666666666666666	0.08333333333333333	0.0018181818181818182	0.005454545454545455	0.00909090909090909	0.0036363636363636364	0.0018181818181818182	1	115	3	121	5	90	2	75	1	137	1	4	10	3	2
SIN3A	C3	0.2469947932099626	0.1751082489175108	0.03636363636363636	0.15000000000000002	0.2	0.4	0.1	0.15000000000000002	0.005454545454545455	0.007272727272727273	0.014545454545454545	0.0036363636363636364	0.005454545454545455	3	113	4	120	8	87	2	75	3	135	4	8	15	4	6
IL4R	C3	0.2835357505010808	0.2093679063209368	0.025454545454545455	0.14285714285714285	0.2142857142857143	0.3571428571428571	0.2142857142857143	0.07142857142857142	0.0036363636363636364	0.005454545454545455	0.00909090909090909	0.005454545454545455	0.0018181818181818182	2	114	3	121	5	90	3	74	1	137	3	6	9	6	2
OR6K2	C3	0.44325510233269755	0.3555964440355596	0.016363636363636365	0.1111111111111111	0.2222222222222222	0.4444444444444444	0.1111111111111111	0.1111111111111111	0.0018181818181818182	0.0036363636363636364	0.007272727272727273	0.0018181818181818182	0.0018181818181818182	1	115	2	122	4	91	1	76	1	137	1	4	8	2	2
HLA.DMA	C3	0.4938756017845227	0.4091059089409106	0.010909090909090908	0.16666666666666669	0.16666666666666669	0.5000000000000001	0.0	0.16666666666666669	0.0018181818181818182	0.0018181818181818182	0.005454545454545455	0.0	0.0018181818181818182	1	115	1	123	3	92	0	77	1	137	2	2	6	0	2
STAT6	C3	0.5086565205776514	0.4251457485425146	0.02909090909090909	0.125	0.25	0.3125	0.18750000000000003	0.125	0.0036363636363636364	0.007272727272727273	0.00909090909090909	0.005454545454545455	0.0036363636363636364	2	114	4	120	5	90	3	74	2	136	3	8	10	6	3
NFATC4	C3	0.6146379915511191	0.5320746792532075	0.023636363636363636	0.23076923076923078	0.07692307692307693	0.3076923076923077	0.07692307692307693	0.3076923076923077	0.005454545454545455	0.0018181818181818182	0.007272727272727273	0.0018181818181818182	0.007272727272727273	3	113	1	123	4	91	1	76	4	134	4	2	6	2	8
RUSC1	C3	0.626998708553687	0.5451145488545115	0.02181818181818182	0.25	0.08333333333333333	0.3333333333333333	0.08333333333333333	0.25	0.005454545454545455	0.0018181818181818182	0.007272727272727273	0.0018181818181818182	0.005454545454545455	3	113	1	123	4	91	1	76	3	135	6	2	8	2	6
VEZF1	C3	0.8906132644099916	0.8573814261857381	0.02	0.18181818181818182	0.18181818181818182	0.27272727272727276	0.18181818181818182	0.18181818181818182	0.0036363636363636364	0.0036363636363636364	0.005454545454545455	0.0036363636363636364	0.0036363636363636364	2	114	2	122	3	92	2	75	2	136	3	4	6	4	3
HIST1H1E	C4	3.5732976003573306e-05	9.99990000099999e-06	0.2018181818181818	0.26126126126126126	0.15315315315315317	0.11711711711711711	0.3153153153153153	0.15315315315315317	0.05272727272727273	0.03090909090909091	0.023636363636363636	0.06363636363636363	0.03090909090909091	29	87	17	107	13	82	35	42	17	121	54	32	24	67	32
SGK1	C4	3.5732976003573306e-05	9.99990000099999e-06	0.12363636363636363	0.13235294117647062	0.17647058823529416	0.14705882352941177	0.5147058823529411	0.029411764705882356	0.016363636363636365	0.02181818181818182	0.01818181818181818	0.06363636363636363	0.0036363636363636364	9	107	12	112	10	85	35	42	2	136	18	24	20	68	4
DUSP2	C4	3.5732976003573306e-05	9.99990000099999e-06	0.16	0.19318181818181818	0.1590909090909091	0.034090909090909095	0.3181818181818182	0.29545454545454547	0.03090909090909091	0.025454545454545455	0.005454545454545455	0.05090909090909091	0.04727272727272727	17	99	14	110	3	92	28	49	26	112	28	24	5	51	41
LTB	C4	3.5732976003573306e-05	9.99990000099999e-06	0.09636363636363636	0.20754716981132076	0.1320754716981132	0.11320754716981134	0.4339622641509434	0.11320754716981134	0.02	0.012727272727272728	0.01090909090909091	0.04181818181818182	0.01090909090909091	11	105	7	117	6	89	23	54	6	132	17	13	10	43	12
KLHL6	C4	3.5732976003573306e-05	9.99990000099999e-06	0.09636363636363637	0.1320754716981132	0.20754716981132074	0.05660377358490566	0.4150943396226415	0.18867924528301883	0.012727272727272728	0.02	0.005454545454545455	0.04	0.01818181818181818	7	109	11	113	3	92	22	55	10	128	13	22	5	43	20
ZFP36L1	C4	3.5732976003573306e-05	9.99990000099999e-06	0.10545454545454547	0.10344827586206896	0.0689655172413793	0.1379310344827586	0.3620689655172414	0.3275862068965517	0.01090909090909091	0.007272727272727273	0.014545454545454545	0.038181818181818185	0.034545454545454546	6	110	4	120	8	87	21	56	19	119	10	7	16	39	32
CD83	C4	3.5732976003573306e-05	9.99990000099999e-06	0.05454545454545454	0.16666666666666666	0.06666666666666667	0.06666666666666667	0.6333333333333334	0.06666666666666667	0.00909090909090909	0.0036363636363636364	0.0036363636363636364	0.034545454545454546	0.0036363636363636364	5	111	2	122	2	93	19	58	2	136	9	4	4	36	4
HIST1H2BC	C4	3.5732976003573306e-05	9.99990000099999e-06	0.08727272727272728	0.31249999999999994	0.125	0.0625	0.3958333333333333	0.10416666666666666	0.02727272727272727	0.01090909090909091	0.005454545454545455	0.034545454545454546	0.00909090909090909	15	101	6	118	3	92	19	58	5	133	28	10	5	28	7
NFKBIA	C4	3.5732976003573306e-05	9.99990000099999e-06	0.045454545454545456	0.04	0.04	0.28	0.64	0.0	0.0018181818181818182	0.0018181818181818182	0.012727272727272728	0.02909090909090909	0.0	1	115	1	123	7	88	16	61	0	138	2	2	14	29	0
TET2	C4	3.5732976003573306e-05	9.99990000099999e-06	0.04909090909090909	0.11111111111111113	0.11111111111111113	0.0	0.5555555555555556	0.22222222222222227	0.005454545454545455	0.005454545454545455	0.0	0.02727272727272727	0.01090909090909091	3	113	3	121	0	95	15	62	6	132	6	6	0	30	11
BRAF	C4	3.5732976003573306e-05	9.99990000099999e-06	0.05818181818181818	0.18750000000000003	0.25	0.125	0.4375	0.0	0.01090909090909091	0.014545454545454545	0.007272727272727273	0.025454545454545455	0.0	6	110	8	116	4	91	14	63	0	138	11	14	8	27	0
PTPN6	C4	3.5732976003573306e-05	9.99990000099999e-06	0.04909090909090909	0.18518518518518517	0.07407407407407408	0.07407407407407408	0.5185185185185186	0.14814814814814817	0.00909090909090909	0.0036363636363636364	0.0036363636363636364	0.025454545454545455	0.007272727272727273	5	111	2	122	2	93	14	63	4	134	10	4	4	28	8
RAC2	C4	3.5732976003573306e-05	9.99990000099999e-06	0.027272727272727275	0.06666666666666667	0.0	0.4	0.5333333333333333	0.0	0.0018181818181818182	0.0	0.01090909090909091	0.014545454545454545	0.0	1	115	0	124	6	89	8	69	0	138	2	0	12	15	0
HIST1H1B	C4	0.00013073040001307306	3.999960000399996e-05	0.09818181818181819	0.18518518518518517	0.12962962962962962	0.09259259259259259	0.3888888888888889	0.2037037037037037	0.01818181818181818	0.012727272727272728	0.00909090909090909	0.038181818181818185	0.02	10	106	7	117	5	90	21	56	11	127	18	11	9	39	21
CRIP1	C4	0.00021317968638495435	6.999930000699993e-05	0.023636363636363636	0.23076923076923078	0.07692307692307693	0.07692307692307693	0.6153846153846154	0.0	0.005454545454545455	0.0018181818181818182	0.0018181818181818182	0.014545454545454545	0.0	3	113	1	123	1	94	8	69	0	138	5	2	2	15	0
STAT3	C4	0.0003828533143239996	0.00012999870001299986	0.08	0.18181818181818182	0.11363636363636363	0.11363636363636363	0.4090909090909091	0.18181818181818182	0.014545454545454545	0.00909090909090909	0.00909090909090909	0.03272727272727273	0.014545454545454545	8	108	5	119	5	90	18	59	8	130	16	10	10	36	15
