Sample	PrepType
DLBCL_RICOVER_253	FFPE
DLBCL_RICOVER_850	FFPE
DLBCL_RICOVER_361	FFPE
DLBCL_RICOVER_496	FFPE
DLBCL_RICOVER_1283	FFPE
DLBCL_RICOVER_866	FFPE
DLBCL_RICOVER_577	FFPE
DLBCL_RICOVER_701	FFPE
DLBCL_RICOVER_1192	FFPE
DLBCL_RICOVER_134	FFPE
DLBCL_RICOVER_773	FFPE
DLBCL_RICOVER_583	FFPE
DLBCL_RICOVER_1045	FFPE
DLBCL_RICOVER_111	FFPE
DLBCL_RICOVER_120	FFPE
DLBCL_RICOVER_720	FFPE
DLBCL_RICOVER_1289	FFPE
DLBCL_RICOVER_712	FFPE
DLBCL_RICOVER_678	FFPE
DLBCL_RICOVER_1263	FFPE
DLBCL_RICOVER_948	FFPE
DLBCL_RICOVER_1287	FFPE
DLBCL_RICOVER_267	FFPE
DLBCL_RICOVER_473	FFPE
DLBCL_RICOVER_910	FFPE
DLBCL_RICOVER_1210	FFPE
DLBCL_RICOVER_1269	FFPE
DLBCL_RICOVER_1061	FFPE
DLBCL_RICOVER_1106	FFPE
DLBCL_RICOVER_1235	FFPE
DLBCL_RICOVER_440	FFPE
DLBCL_RICOVER_977	FFPE
DLBCL_RICOVER_469	FFPE
DLBCL_RICOVER_1204	FFPE
DLBCL_RICOVER_522	FFPE
DLBCL_RICOVER_839	FFPE
DLBCL_RICOVER_1293	FFPE
DLBCL_RICOVER_478	FFPE
DLBCL_RICOVER_173	FFPE
DLBCL_RICOVER_978	FFPE
DLBCL_RICOVER_1248	FFPE
DLBCL_RICOVER_985	FFPE
