PercentTrain	trainingloss	validationloss	bin	PercentTrain_upper
0.56	0.0201108972091717	0.0264679675722943	(0.52,0.56]	0.56
0.562	0.0277896890224523	0.0316386220417763	(0.56,0.6]	0.6
0.565	0.0208776031994251	0.0282255566550216	(0.56,0.6]	0.6
0.567	0.0193475794971927	0.0291300149036552	(0.56,0.6]	0.6
0.568	0.0227740964666844	0.0243573950639464	(0.56,0.6]	0.6
0.571	0.0269179797906061	0.030901504229351	(0.56,0.6]	0.6
0.575	0.0148325436690852	0.0327879709253855	(0.56,0.6]	0.6
0.576	0.0164601396549241	0.025233944167277	(0.56,0.6]	0.6
0.577	0.0206781186995301	0.0263878793893026	(0.56,0.6]	0.6
0.579	0.0243731315324596	0.02890939607609	(0.56,0.6]	0.6
0.581	0.0179384717509098	0.027725948135568	(0.56,0.6]	0.6
0.583	0.0310685124840364	0.0338942264148864	(0.56,0.6]	0.6
0.586	0.0186625338817921	0.0248572132645027	(0.56,0.6]	0.6
0.588	0.0256958312531481	0.0297592972788538	(0.56,0.6]	0.6
0.591	0.020920043677627	0.0277918599936865	(0.56,0.6]	0.6
0.593	0.0194437176777263	0.0263359739279646	(0.56,0.6]	0.6
0.594	0.0168904765400136	0.0241508460912882	(0.56,0.6]	0.6
0.595	0.0217928214608662	0.0246771431816991	(0.56,0.6]	0.6
0.6	0.0266540256745924	0.0317525287372152	(0.56,0.6]	0.6
0.605	0.0136457988107533	0.02794481748424	(0.6,0.64]	0.64
0.606	0.0154450818317608	0.0246731290690474	(0.6,0.64]	0.64
0.607	0.0175786598492691	0.0267966850808302	(0.6,0.64]	0.64
0.609	0.0196142603470037	0.0279680035409124	(0.6,0.64]	0.64
0.611	0.0238639768509067	0.0276682970794848	(0.6,0.64]	0.64
0.613	0.0180875259642002	0.0272402404841289	(0.6,0.64]	0.64
0.615	0.0273385990945944	0.0318402986351559	(0.6,0.64]	0.64
0.618	0.0151660696939121	0.0226364632277571	(0.6,0.64]	0.64
0.619	0.0211934690423835	0.0280129856177114	(0.6,0.64]	0.64
0.621	0.0168357691333815	0.0257038168051622	(0.6,0.64]	0.64
0.622	0.0215371591777868	0.024216764207657	(0.6,0.64]	0.64
0.625	0.0248576373716622	0.0306976623458489	(0.6,0.64]	0.64
0.628	0.0137361889253886	0.029795008293669	(0.6,0.64]	0.64
0.629	0.0163762934660107	0.0210938320406057	(0.6,0.64]	0.64
0.63	0.0191302703062467	0.0257124778458737	(0.6,0.64]	0.64
0.632	0.0226264930603717	0.027830871488515	(0.6,0.64]	0.64
0.633	0.0164135005707482	0.0268130251819716	(0.6,0.64]	0.64
0.636	0.0273125795964838	0.0312925153935874	(0.6,0.64]	0.64
0.64	0.0186197855124082	0.0262956101982228	(0.6,0.64]	0.64
0.643	0.0255806088693723	0.0305615507593418	(0.64,0.68]	0.68
0.645	0.0172902285572698	0.0286983799221453	(0.64,0.68]	0.68
0.647	0.0238272390509414	0.0288201786063391	(0.64,0.68]	0.68
0.649	0.0210602858956971	0.0217371888694677	(0.64,0.68]	0.68
