pair_id	case_sample	control_sample	ploidy_absolute_reviewed
DLBCL_LS2848	DLBCL-Ls2848-Tumor	DLBCL-Ls2848-Normal	2.000000
DLBCL_LS297	DLBCL-Ls297-Tumor	DLBCL-Ls297-Normal	2.060000
DLBCL_LS2978	DLBCL-Ls2978-Tumor	DLBCL-Ls2978-Normal	2.130000
DLBCL_LS3085	DLBCL-Ls3085-Tumor	DLBCL-Ls3085-Normal	2.020000
DLBCL_LS3200	DLBCL-Ls3200-Tumor	DLBCL-Ls3200-Normal	2.220000
DLBCL_LS3204	DLBCL-Ls3204-Tumor	DLBCL-Ls3204-Normal	3.470000
DLBCL_LS3219	DLBCL-Ls3219-Tumor	DLBCL-Ls3219-Normal	2.000000
DLBCL_LS3245	DLBCL-Ls3245-Tumor	DLBCL-Ls3245-Normal	3.370000
DLBCL_LS3271	DLBCL-LS3271-Tumor	DLBCL-LS3271-Normal	2.050000
DLBCL_LS3309	DLBCL-Ls3309-Tumor	DLBCL-Ls3309-Normal	3.940000
DLBCL_LS3387	DLBCL-Ls3387-Tumor	DLBCL-Ls3387-Normal	2.060000
DLBCL_LS3499	DLBCL-Ls3499-Tumor	DLBCL-Ls3499-Normal	2.120000
DLBCL_LS3615	DLBCL-Ls3615-Tumor	DLBCL-Ls3615-Normal	2.000000
DLBCL_LS3749	DLBCL-Ls3749-Tumor	DLBCL-Ls3749-Normal	3.200000
DLBCL_LS378	DLBCL-Ls378-Tumor	DLBCL-Ls378-Normal	2.110000
DLBCL_LS3808	DLBCL-Ls3808-Tumor	DLBCL-Ls3808-Normal	1.980000
DLBCL_LS3809	DLBCL-Ls3809-Tumor	DLBCL-Ls3809-Normal	2.250000
DLBCL_LS3820	DLBCL-Ls3820-Tumor	DLBCL-Ls3820-Normal	2.060000
DLBCL_LS3866	DLBCL-Ls3866-Tumor	DLBCL-Ls3866-Normal	1.990000
DLBCL_LS4054	DLBCL-LS4054-Tumor	DLBCL-LS4054-Normal	1.980000
DLBCL_LS4085	DLBCL-Ls4085-Tumor	DLBCL-Ls4085-Normal	2.120000
DLBCL_LS4222	DLBCL-LS4222-Tumor	DLBCL-LS4222-Normal	2.000000
DLBCL_LS4323	DLBCL-LS4323-Tumor	DLBCL-LS4323-Normal	2.100000
DLBCL_LS4394	DLBCL-LS4394-Tumor	DLBCL-LS4394-Normal	2.110000
DLBCL_LS4592	DLBCL-LS4592-Tumor	DLBCL-LS4592-Normal	1.980000
DLBCL_LS4593	DLBCL-LS4593-Tumor	DLBCL-LS4593-Normal	1.990000
DLBCL_LS4616	DLBCL-LS4616-Tumor	DLBCL-LS4616-Normal	1.970000
DLBCL_LS4618	DLBCL-LS4618-Tumor	DLBCL-LS4618-Normal	2.000000
DLBCL_LS4619	DLBCL-LS4619-Tumor	DLBCL-LS4619-Normal	2.050000
DLBCL_LS762	DLBCL-Ls762-Tumor	DLBCL-Ls762-Normal	2.030000
DLBCL_LS843	DLBCL-Ls843-Tumor	DLBCL-Ls843-Normal	2.050000
DLBCL_LS88	DLBCL-Ls88-Tumor	DLBCL-Ls88-Normal	2.010000
DLBCL_LS951	DLBCL-Ls951-Tumor	DLBCL-Ls951-Normal	2.210000
DLBCL_MAYO_DLBCL_234	DLBCL-MAYO_DLBCL_234-Tumor	DLBCL-MAYO_DLBCL_234-Normal	2.060000
