	u1	u2
DLBCL_RICOVER_583	3.884984	5.45268
DLBCL11655	5.234198	9.737772
DLBCL10845	4.198566	3.666765
DLBCL10509	2.9155242	5.2187424
DLBCL11495	6.434035	7.013956
DLBCL10904	6.083097	6.622478
DLBCL_C_D_1149_NULLPAIR	2.5328588	5.5131097
DLBCL11516	3.8545427	5.357106
DLBCL_RICOVER_1263	1.6360213	4.6591043
DLBCL11454	4.891877	7.3184166
DLBCL10851	3.5080154	4.3616695
DLBCL10854	7.302493	6.2447553
DLBCL10467	6.7374334	6.498419
DLBCL_C_D_1103_NULLPAIR	3.4618368	9.461579
DLBCL10964	6.063816	5.418799
DLBCL_RICOVER_173	6.4699345	6.8653417
DLBCL_RICOVER_361	4.43784	9.741569
DLBCL10995	2.095288	8.474152
DLBCL11443	4.9758444	8.008205
DLBCL10913	5.5966883	8.421262
DLBCL10541	2.7465553	6.315439
DLBCL10939	4.4072256	9.660111
DLBCL_LS3204	2.9225833	4.8581934
DLBCL11541	2.4781952	8.326905
DLBCL_RICOVER_1299	7.4292793	6.1497216
DLBCL10996	5.2301345	7.8829155
DLBCL10859	3.3719518	4.462693
DLBCL10916	5.2933297	4.6286473
DLBCL11595	4.395814	5.374466
DLBCL11677	5.416642	7.4299846
DLBCL10870	6.528398	6.5770445
DLBCL10987	5.8930507	5.307748
DLBCL10956	3.74602	4.742972
DLBCL_C_D_1123_NULLPAIR	3.7270527	7.383533
DLBCL10457	4.637976	5.8958554
DLBCL_RICOVER_948	2.4555893	3.1002305
DLBCL10897	5.3138685	7.7928543
DLBCL11523	6.387203	6.896875
DLBCL10881	6.1062627	5.989914
DFCIDL003_DT	2.3964658	2.1156793
DLBCL11511	3.1248674	8.08291
DLBCL_MAYO_DLBCL_5613	3.5543606	7.1888094
DLBCL_MAYO_DLBCL_7359	2.5685017	2.7293334
DFCIDL010_DT	3.2754846	7.6104746
DLBCL_C_D_1152_NULLPAIR	2.2925637	2.9305348
DLBCL11004	7.58596	5.9601493
DLBCL10464	0.78186566	5.471129
DLBCL_LS843	1.2973919	4.925745
DLBCL_MC_F132_MLM	5.041496	7.9474254
DLBCL11482	5.0162516	8.185212
DLBCL10899	7.905526	5.1602745
DLBCL11669	0.56049794	4.7205296
DLBCL_C_D_1157_NULLPAIR	0.36036912	5.712499
DLBCL11434	3.501458	7.6691494
DLBCL_RICOVER_469	0.8402839	5.3332624
DLBCL_C_D_1135_NULLPAIR	2.9777586	2.797818
DLBCL_RICOVER_267	1.0322841	5.540866
DLBCL11242	6.59325	6.533934
DLBCL11440	7.0677	6.099285
DLBCL_RICOVER_134	7.5963836	4.683478
DLBCL10471	5.649442	5.074536
DLBCL_RICOVER_1219	6.1180825	5.538954
DLBCL_RICOVER_1293	8.087164	5.480171
DLBCL11187	8.224171	5.7338586
DLBCL10538	6.761281	4.912576
DLBCL_C_D_1162_NULLPAIR	2.5610583	8.353545
DLBCL_C_D_PAIR20	3.90257	4.386369
DLBCL_C_D_PAIR9	3.5092196	3.6916797
DLBCL_C_D_PAIR2	2.9275553	5.7625604
DLBCL_C_D_1145_NULLPAIR	5.7076025	7.291167
DLBCL_LS3387	5.092483	8.779928
DLBCL11005	5.2087555	4.705712
DLBCL10470	1.9820803	5.0912976
DLBCL_LS3808	3.0917845	8.329196
DLBCL_C_D_PAIR22	2.7450864	6.418782
DLBCL_LS4394	3.0703297	6.0897017
DLBCL10531	4.2032256	5.832577
DLBCL10500	2.0114799	6.9616814
DLBCL11180	4.454874	4.3774514
DLBCL11182	7.095844	6.0741568
DLBCL_C_D_1120_NULLPAIR	1.8813051	7.087075
DLBCL11586	4.1363316	8.550883
DLBCL_RICOVER_224	3.9209483	5.1924114
DLBCL10524	2.949663	3.581792
DLBCL_RICOVER_1072	3.4747183	5.058848
DFCIDL001_DT	2.5379395	6.898133
DLBCL11193	3.245876	3.2252457
DLBCL10506	5.071021	7.2083116
DLBCL10948	3.6626613	3.6025176
DLBCL_C_D_PAIR23	3.7848575	3.1796348
DLBCL_MC_F990_MNA	3.8439643	2.99652
DLBCL_C_D_1132_NULLPAIR	5.3992023	8.712064
DLBCL_RICOVER_150	3.3462148	2.7841492
DLBCL_RICOVER_105	3.9653172	5.4852138
DLBCL10478	5.1051426	9.751728
DLBCL11530	2.5130348	2.0770555
DLBCL_MC_F300_TBF	5.432665	7.3351436
DLBCL_C_D_1158_NULLPAIR	2.8119566	5.6198745
DLBCL_RICOVER_1199	0.26668346	5.597258
DLBCL_RICOVER_763	5.3013434	5.7716937
DLBCL_RICOVER_822	4.5774746	4.275139
DLBCL11562	1.4780575	4.1564794
DLBCL11531	2.5568535	4.915818
DLBCL_LS148	1.1988692	8.032342
DLBCL_C_D_1110_NULLPAIR	0.4040455	5.4874306
DLBCL_LS1899	2.7549832	7.817743
DLBCL11540	4.2842607	5.2382545
DLBCL11506	2.9132218	8.086305
DLBCL_RICOVER_597	6.551165	6.1274815
DLBCL10998	2.463313	8.322271
DLBCL10942	3.305407	7.64127
DLBCL11559	1.4274099	4.2933207
DLBCL_RICOVER_1237	4.6859665	5.94112
DLBCL_RICOVER_197	3.401709	9.312243
DLBCL_RICOVER_336	4.316794	7.010696
DLBCL_C_D_1121_NULLPAIR	3.266862	3.38496
DLBCL_C_D_1146_NULLPAIR	3.1800294	7.542618
DLBCL_RICOVER_384	1.7887256	4.3001013
DLBCL11578	2.5665886	8.344186
DLBCL_RICOVER_126	2.5704734	2.023735
DLBCL_LS4323	1.6342112	7.970933
DLBCL11503	4.1737633	3.5913548
DLBCL_MC_F648_JKW	3.782774	7.299638
DLBCL10504	8.223244	5.7674117
DLBCL10505	3.9615622	9.507478
DLBCL10546	5.295636	7.0152617
DLBCL11452	3.4937148	7.892559
DLBCL_C_D_1104_NULLPAIR	2.786789	7.419148
DLBCL11665	3.9073453	9.455998
DLBCL_LS4085	4.9722857	5.889782
DLBCL10516	6.6197023	6.630264
DLBCL_RICOVER_148	3.3120625	9.355977
DLBCL11445	5.416189	8.258036
DLBCL10953	5.431323	7.2180343
DLBCL_LS1546	3.8323817	4.6695895
DLBCL11660	4.6582227	8.755465
DLBCL_RICOVER_692	4.981522	9.341173
DLBCL_RICOVER_269	0.67623395	4.504645
DLBCL10476	4.548357	9.126575
DLBCL_RICOVER_1138	4.1422453	9.678413
DLBCL_RICOVER_99	4.7501225	5.8957415
DLBCL11577	2.6865292	3.4178982
DLBCL_RICOVER_181	5.4288826	7.100891
DLBCL_RICOVER_1247	1.6364108	8.01611
DLBCL10545	1.9056109	8.290816
DLBCL11571	5.245418	9.661451
DLBCL_RICOVER_208	2.176865	2.7050076
DLBCL11560	3.2419305	4.0693574
DLBCL_LS3309	2.331884	2.2265575
DLBCL_LS3866	3.331559	9.272588
